id,text,lang,category
1756362317669834907,"@DianaCialino There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that @DianaCialino didn't read, but she says that is ""impossible"". 🤣🤣🤣🤣🤣🤣🤣🤣 Denial ain't just a river in Mexico. LOL.",en,US
1756362317669834907,"@DianaCialino There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that @DianaCialino didn't read, but she says that is ""impossible"". 🤣🤣🤣🤣🤣🤣🤣🤣 Denial ain't just a river in Mexico. LOL.",en,US
1756362317669834907,"@DianaCialino There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that @DianaCialino didn't read, but she says that is ""impossible"". 🤣🤣🤣🤣🤣🤣🤣🤣 Denial ain't just a river in Mexico. LOL.",en,US
1755999892600676591,@The_Trump_Train Yes yes,en,US
1755999914947928082,@The_Trump_Train Never ever,en,US
1755999924682961182,@7Veritas4 It’s sad that you are all butt hurt over Donald Trump stopping the quotas of child sex slaves being delivered to your door step in New York because we all know you’re a raging chomo that will even stick your dick in household pets or pull a Richard Gere with a gerbil. https://t.co/eRIZLlgqWK,en,US
1755999987635216422,@trador58 @TRUMP_ARMY_ Spreading Russian misinformation that is,en,US
1755999954118549730,@forkinggizmo @blackvaultcom But but…. https://t.co/jGTdRIJvgn,en,US
1755999897990623730,"RT @ULTRA_MAJESTY: Here is the full article:
https://t.co/UNlAKPq6eD",en,US
1756362250334478674,"How your memory really works, and how it changes as you age

https://t.co/EDNWOUp9Oz",en,US
1756362250334478674,"How your memory really works, and how it changes as you age

https://t.co/EDNWOUp9Oz",en,US
1756362250334478674,"How your memory really works, and how it changes as you age

https://t.co/EDNWOUp9Oz",en,US
1755999938524463203,RT @HalfwayPost: REMINDER: Donald Trump had to pay $83 MILLION to a woman for RAPING her.,en,US
1756362356341297254,"@clairecmc @mornin_joe @ratemyskyperoom Saw short video of you claiming Biden did nothing wrong with the classified documents he had.

Lady, Biden wasn't even president when he STOLE classified documents and took them HOME. We have no idea how any crack head friends of Hunter's rifled through those boxes in the garage.… https://t.co/Gz8oQxveMg",en,US
1756362356341297254,"@clairecmc @mornin_joe @ratemyskyperoom Saw short video of you claiming Biden did nothing wrong with the classified documents he had.

Lady, Biden wasn't even president when he STOLE classified documents and took them HOME. We have no idea how any crack head friends of Hunter's rifled through those boxes in the garage.… https://t.co/Gz8oQxveMg",en,US
1756362356341297254,"@clairecmc @mornin_joe @ratemyskyperoom Saw short video of you claiming Biden did nothing wrong with the classified documents he had.

Lady, Biden wasn't even president when he STOLE classified documents and took them HOME. We have no idea how any crack head friends of Hunter's rifled through those boxes in the garage.… https://t.co/Gz8oQxveMg",en,US
1756362246345629945,"RT @mtntallpaul: Try it, Sleepy Creepy Joe.

Please.  I want to watch.

https://t.co/BOzXDXIh93",en,US
1756362246345629945,"RT @mtntallpaul: Try it, Sleepy Creepy Joe.

Please.  I want to watch.

https://t.co/BOzXDXIh93",en,US
1756362246345629945,"RT @mtntallpaul: Try it, Sleepy Creepy Joe.

Please.  I want to watch.

https://t.co/BOzXDXIh93",en,US
1755999870098284972,"@L_S_Ashcraft @TRUMP_ARMY_ @8773lis 😂😂😂honest??
😂😂😂Reporter??
Good one! 😂😂👌",en,US
1756353201140359192,The whole world is watching this clown show and thinks the entire US is a joke. https://t.co/QU9mGkfI4R,en,US
1755999949035385056,@The_Trump_Train She’s a gross transvestite….. enough of the pathetic lies from these pieces of garbage…,en,US
1756362087146967356,RT @Nikki2U: I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days. Biden is amazing.,en,US
1756362087146967356,RT @Nikki2U: I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days. Biden is amazing.,en,US
1756362087146967356,RT @Nikki2U: I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days. Biden is amazing.,en,US
1756362348829217020,"RT @MaxBlumenthal: Testimony has arrived of Israel viciously torturing the director of Al-Shifa Hospital, Muhammad Abu Salimiya, after the…",en,US
1756362285134614783,"RT @MaxBlumenthal: Testimony has arrived of Israel viciously torturing the director of Al-Shifa Hospital, Muhammad Abu Salimiya, after the…",en,US
1756362276485870064,"RT @MaxBlumenthal: Testimony has arrived of Israel viciously torturing the director of Al-Shifa Hospital, Muhammad Abu Salimiya, after the…",en,US
1756362243787084008,"RT @MaxBlumenthal: Testimony has arrived of Israel viciously torturing the director of Al-Shifa Hospital, Muhammad Abu Salimiya, after the…",en,US
